term,estimate,std.error,statistic,p.value
dest_ed_pct_black,-0.03279507655954029,2.970930759984247e-4,-110.38653946857443,0
dest_ed_pct_frnbrn,-0.04407173688791736,4.585564164091909e-4,-96.10973766985768,0
dest_ed_mean_sei,-0.011417495702200086,4.263345870944834e-4,-26.780599200293747,5.4376086563742275e-158
dist,-6.715304631835157e-4,1.9346989743898433e-6,-347.0981646616627,0
