"out[, 1]",Black_1910_est,Black_1910_pval,Black_1920_est,Black_1920_pval,Black_1930_est,Black_1930_pval,White Imm_1910_est,White Imm_1910_pval,White Imm_1920_est,White Imm_1920_pval,White Imm_1930_est,White Imm_1930_pval,White NB_1910_est,White NB_1910_pval,White NB_1920_est,White NB_1920_pval,White NB_1930_est,White NB_1930_pval
(Intercept),6.906275667538455,7.105513021656298e-23,8.021834714410266,2.9171187126206565e-30,7.4988898430035364,3.532402028722782e-32,6.001568772405756,6.987862272259318e-104,5.511733101627648,1.4611602225775731e-72,5.107262446981381,1.2575450382611116e-61,5.026529784541775,3.2118436079724456e-114,7.431888572550253,1.3861290628644949e-180,6.830408778864213,6.3268325367740926e-161
woman,0.5808207527857296,0.03595014609124415,0.41381764774709073,0.1458147664942453,0.028262021886645294,0.8973422855126783,0.13383352003040352,0.38204680558098203,0.31171836289441923,0.13346366907042923,0.3375814384162412,0.11259398711546384,0.1684970693746034,0.1161378627176904,0.251590611853985,0.07506675680040757,0.4142896943707531,0.0016327115953292503
married,0.15680555961401246,0.4902675134671306,0.36321062314542446,0.14337069239157432,-0.15629008870715377,0.45416915034359573,0.211656429207739,0.06525067820370598,0.32690248421379975,0.033604557014525915,0.46580657020062655,0.0035197411640815086,0.257124882217532,0.0010175740002219464,0.27624085655768904,0.008110024742908537,0.34824462842353066,5.168413827645836e-4
age1,0.012440706720955003,0.04741354799997944,0.019990889835835666,5.400992429099835e-4,0.008542261653122635,0.07713875734487054,8.200359738514897e-4,0.6637635046418431,-0.0046198362466775425,0.05064051880261515,-0.015290931562033728,1.058733984832945e-9,0.009170598135845195,1.0102575540648411e-11,0.0038816851909712663,0.023708454936074066,0.003102994609311864,0.068164901753117
kids_1_to_2,0.1452575911349393,0.2640844050309575,0.005638621927084969,0.9631685333434394,-0.27240070807514954,0.012241017631738743,0.04097636604660282,0.4280073500779604,-0.06802876574122131,0.2942903937547032,0.0193589334480171,0.7599710261278646,-0.07528805203414403,0.021682527126609435,-0.0794288841961963,0.06500355934531188,-0.06932583064397159,0.09696760287629724
kids_3_up,-0.2539606675345453,0.08282007857936366,-0.26316136747430413,0.06231089009184804,-0.23311928914093552,0.045934905457196314,-0.07495488011447812,0.14015654321143073,-0.4741130907477457,2.132262807244029e-13,-0.3851737173421229,9.704848256421643e-9,-0.40695076820822607,7.034616193146415e-28,-0.6185060394726191,6.607331532363907e-36,-0.5346267035121455,1.6921320987828583e-26
hh_max_sei1,-0.005260578210941214,0.7979519942124679,0.025163263329936077,0.2273268312979291,0.037063285499347814,0.09055257359041888,-1.16915684438985e-4,0.9830957456612552,0.048500360679522576,2.0735912222233847e-18,0.015535124911382887,0.003193748605666998,0.01550696722148251,2.8021725837530615e-4,0.024703357887935467,2.4227672589601083e-7,-0.015763683132545357,5.471610407495671e-4
ed_pct_black1,-0.0011531717669120366,0.8051147629597797,-0.015811802311412063,4.4404996420229945e-4,-0.007516462557408152,0.08459782708653962,0.005116601352721429,0.26714981809463734,0.0010075085530686576,0.8017053393810238,-0.0014382166740894724,0.6949720217265741,0.018247459599064764,1.1602714617920177e-5,9.476683374389863e-4,0.8250998531007274,-0.002217170662757909,0.5569299689347789
ed_pct_frnbrn1,-0.017186324421137593,0.13500887964039046,-0.025977803761390895,0.039860116644586045,0.016687252371461004,0.20779471145581369,-0.011028045159588723,1.0461724749832666e-5,-0.015116024175084833,9.562176023310646e-6,0.040355155164319916,8.817114685576559e-19,-0.011240536956413675,0.0013206486269499841,-0.02172754185176939,8.31483991183737e-6,-0.002057965833179861,0.7180426521827384
ed_mean_sei1,-0.7846069105565717,1.5904707576699317e-129,-0.827216169274369,1.701557511721648e-118,-0.7298241943075883,1.554720371847086e-147,-0.6612918859926517,0,-0.4642705756895624,9.497751659364985e-166,-0.30365038956533574,3.5476671496342566e-93,-0.5908764255576503,0,-0.649696467317488,0,-0.44005976443132055,2.9290106954961573e-254
hh_max_sei1:ed_pct_black1,-3.068547023080572e-6,0.9837983644035815,2.986387746349262e-5,0.8480318289069425,-2.34329832793219e-4,0.15649815730486138,2.7431168565495033e-5,0.7673192620121139,-3.8206710749104265e-5,0.6552754745786573,7.098865727659676e-5,0.36499447526885354,-3.3881724696071364e-5,0.6807797797402748,2.2298006789796542e-4,0.013553015227717765,3.1231555184932376e-5,0.7001043185970924
hh_max_sei1:ed_pct_frnbrn1,6.246345648827046e-5,0.8670216818479546,-3.1513593155501176e-4,0.5283575732959052,-9.598672377891166e-4,0.09379588003641001,6.306925807382255e-5,0.2771484611071738,-1.665712939024474e-7,0.9982822763731801,-2.1439406366921486e-4,0.030946879869462422,-7.586080798160704e-5,0.3236504588811294,-8.703280216152277e-5,0.41385549217988216,3.996400327434745e-4,7.061223980974283e-4
hh_max_sei1:ed_mean_sei1,9.414015572286906e-4,0.35164249278297643,-0.0016573398695461047,0.13786457335096727,-9.96683280199957e-4,0.3169707799077667,0.0010509054435439505,9.950961203335886e-4,-0.0018152527612783017,1.0497898467565572e-6,0.0014864329397047565,2.4898689408923908e-6,1.5320347363159085e-4,0.49381136527186165,8.24308055427754e-4,0.006318134534865295,0.0036587445507909456,1.1668922003766676e-47
