"out[, 1]",Black_1910_est,Black_1910_pval,Black_1920_est,Black_1920_pval,Black_1930_est,Black_1930_pval,White Imm_1910_est,White Imm_1910_pval,White Imm_1920_est,White Imm_1920_pval,White Imm_1930_est,White Imm_1930_pval,White NB_1910_est,White NB_1910_pval,White NB_1920_est,White NB_1920_pval,White NB_1930_est,White NB_1930_pval
(Intercept),4797.734205151331,2.0163263017966945e-12,3550.422187689866,1.8505214238656878e-7,2501.274001698338,3.924338351654713e-8,2454.8143698599883,1.0113374164315408e-15,1025.7836285752655,0.003576348352982552,2402.353991026379,1.2667385043075379e-17,2008.4092445764663,8.281836447652117e-17,2224.44058520155,7.55555185391293e-14,3478.608511031197,7.958262235196935e-54
woman,-826.761165975668,0.002261641829385345,-75.4684359689682,0.7863765716623391,-84.48554543229997,0.5923867747535511,-450.597008140125,0.007919242316424168,-517.2324353859557,0.03123094414276993,-310.1574895100781,0.11064458014764474,-410.3316204554516,4.6398442808959667e-4,-541.3397820990958,9.052369114945589e-4,-467.7393979119566,6.935248312553361e-5
married,-515.3222766292042,0.02040718302875347,-48.89530209897662,0.8404809894802006,-0.5895013464695171,0.9968730687649467,-231.1233498772201,0.06929003280951258,-273.91216178246145,0.12347369725129012,-124.4367637136654,0.39352853350866546,-66.29210543861025,0.438262105892119,114.68379809323007,0.3408982022491599,-213.3297486226748,0.017339807200430473
age1,-20.13014364564787,0.0010369456156650392,-11.54450088150038,0.041097937144927495,-24.279570718887324,3.4091121976357727e-12,-38.16094676558103,6.694333398336358e-74,-37.89635482508491,1.5485483536456043e-43,-48.501320158189714,1.3172994132094297e-98,-23.62574955401472,9.229093635069272e-58,-46.08032445414579,1.0288962522814187e-118,-52.35248484642365,3.879628265928487e-256
kids_1_to_2,-320.6155312801449,0.01170207121101533,-229.90507169580482,0.05450368786163694,-82.88570768948024,0.2898918235670795,-38.452663875788254,0.5021169300822466,-43.97049072474055,0.557557743412282,-1.6270183875115865,0.977582187023025,-151.70720490201896,2.3098741712609942e-5,-150.58618402557138,0.002437266063867742,-225.0467298021364,1.677159283923871e-9
kids_3_up,-572.4767391242746,6.451595701011013e-5,-631.2767690671858,5.082851486374109e-6,-375.01650148248814,8.425534929211959e-6,-199.67632145654653,3.915371663888735e-4,-279.93385193536545,1.757039649462477e-4,-291.1569101926693,2.0803803683356173e-6,-306.78985409796013,4.271040348158997e-14,-589.0038540751472,5.35394227559365e-25,-323.45680821590753,5.475282902627592e-13
hh_max_sei1,15.387922159683177,0.44355607867039337,16.28310242272381,0.42480074875562457,54.13870208746594,6.025759725108426e-4,16.88470572504097,0.0057645572364335125,49.852534736801,6.9263392315094126e-15,19.27747029394642,6.238076707879779e-5,7.747049144147509,0.09676120508983847,17.188859767929884,0.001848641233103593,7.501434904745639,0.06573305899726468
ed_pct_black1,-13.676953367415633,0.002774666265759846,-6.4517057939451545,0.14283298334627598,-1.2828076236969224,0.6828136904934221,18.004783955925063,4.2668234172356444e-4,11.857445885319462,0.010559524771902105,11.617720695809593,5.285010164781017e-4,12.12549796089444,0.00766980501846294,16.81324257454467,6.815970177672994e-4,5.612657572903887,0.09620931793647727
ed_pct_frnbrn1,-2.8047299287725016,0.80286198751233,16.15139488838821,0.1916835602657392,8.501287173694738,0.37301525932124624,5.598728977244433,0.04344368338476104,15.919837678135265,5.4880314182095816e-5,-4.877455539606019,0.24139721602025901,7.106729767938188,0.06318734164153848,4.477685166335043,0.4260497788182631,-16.00186622842469,0.001685303186450656
ed_mean_sei1,-75.00567031214463,0.011879736490904428,-51.014916584566116,0.12707317333646054,3.8885536901781714,0.8437022733831967,85.80760814891532,6.117953923382811e-8,246.61077624270465,5.112835650715088e-37,120.28910698238786,5.03031850204038e-19,57.863620145734735,1.2557440944080083e-6,169.47537574960188,1.2634498645176836e-22,82.39237858470214,6.886757753770149e-13
hh_max_sei1:ed_pct_black1,-0.32732046404731446,0.026731844380845353,-0.07859954503062691,0.6063997513549149,-0.5782859497130374,1.2384642840299269e-6,-0.10033039539228805,0.3288072925746576,-0.0681319032735838,0.49096422757889646,0.019552737539058146,0.7848069945296211,-0.06704726287621714,0.4563396668404288,0.039567187473929795,0.7042303682624705,0.20977936217825086,0.003800721360245837
hh_max_sei1:ed_pct_frnbrn1,-0.38337363213540254,0.29304220587223384,-0.46422598061787074,0.34272609594259895,-0.6353063738893675,0.1236545798910743,0.18517673520977693,0.003989650741470606,0.08472140861956194,0.3434702858800941,0.1576775618541554,0.08243764441929347,0.29635309399604265,4.1928245936620874e-4,0.5883692268964946,1.7053569172837286e-6,0.40763345168167386,1.1106448968544651e-4
hh_max_sei1:ed_mean_sei1,0.8205299124570808,0.4061370417954673,0.1783191396186079,0.8704258867266812,-1.1077404500656831,0.12263552463462372,-0.8899657899661165,0.01188009487491762,-2.9041386413575845,1.4236277296103891e-11,-0.992057606889319,5.82216427158944e-4,-0.5660263999936112,0.020718861624831626,-1.5468277168369413,9.00987381472477e-6,-0.9691899732015034,1.687030293578472e-5
