variable,Black_1910,Black_1920,Black_1930,White Imm_1910,White Imm_1920,White Imm_1930,White NB_1910,White NB_1920,White NB_1930
moved,0.4449309531828899,0.4868576841108217,0.3669463995668652,0.46048422277155737,0.4332328427026068,0.26919468571255634,0.4055885647032024,0.39333938609538893,0.2897955962433904
woman,0.08588750421017177,0.07530191806772436,0.09677855982674607,0.061036789297658864,0.05206596914346515,0.05710740550192174,0.0602327303099907,0.06309038576699443,0.0653144976718491
married,0.8858201414617717,0.906227800142079,0.8956415809420682,0.919986912898066,0.9325766979960985,0.9293345035257089,0.9158108544201674,0.9140958525701702,0.9130297529792439
homeowner,0.10508588750421018,0.17002131186360409,0.23186247969680562,0.30507488730551113,0.5062954424543359,0.6772992767000575,0.30486531634996866,0.4627465373693666,0.5861731512903481
age1,38.047827551364094,38.57991948851527,38.80332972387656,41.2011051330522,41.618336584500796,43.62630511757407,40.587387763624974,41.33407383081886,41.438828821718886
kids_1_to_2,0.3795890872347592,0.3563817191569974,0.3413643746616134,0.38250690708157625,0.40205710232310693,0.4266259116908271,0.46255623683061564,0.4561400119767419,0.4449214742324994
kids_3_up,0.2502526103065005,0.222827373904807,0.2543313481321061,0.40515486403955214,0.3995034580599397,0.3319613836516055,0.2444807228686953,0.22939324279946685,0.2015626233130771
hh_max_sei1,22.737285281239476,21.49514563106796,20.279371954520844,38.198160535117054,36.90693385352013,37.00913960596798,43.12283832267127,42.741553499333556,43.712035356325465
ed_pct_black1,30.241066318139506,39.548603597524114,49.076126435133645,3.480526885941209,4.416137709135111,6.069376279744588,3.287362732341425,3.492465222340375,4.137661352467555
ed_pct_frnbrn1,17.903928444940288,15.038981109446912,12.254356144538859,29.793957134103835,28.245076674235527,24.491597497421477,19.240690513358224,17.449498398943863,17.059956715951714
ed_mean_sei1,13.522853310785194,10.166834953725642,9.756465235454169,13.251210046695695,10.481686120665296,11.19958626420923,14.676630223953596,11.841027311686107,12.799616247748311
