variable,Black_1910,Black_1920,Black_1930,White Imm_1910,White Imm_1920,White Imm_1930,White NB_1910,White NB_1920,White NB_1930
moved,0.4497907949790795,0.5555555555555556,0.38195173137460653,0.382699868938401,0.43902439024390244,0.34276729559748426,0.39400428265524623,0.40333660451422965,0.3858506944444444
woman,0.15481171548117154,0.12606837606837606,0.16998950682056663,0.2595019659239843,0.25853658536585367,0.1918238993710692,0.3083511777301927,0.28361138370951916,0.2517361111111111
married,0.7217573221757322,0.7991452991452992,0.7586568730325288,0.5399737876802096,0.5219512195121951,0.5833333333333334,0.48108493932905066,0.5034347399411188,0.6076388888888888
homeowner,0.043933054393305436,0.1047008547008547,0.22140608604407136,0.23853211009174313,0.3902439024390244,0.5031446540880503,0.2690935046395432,0.366045142296369,0.4314236111111111
age1,37.95188284518829,37.993589743589745,39.29800629590766,45.67234600262123,45.834146341463416,43.9559748427673,45.05353319057816,43.96270853778214,40.30078125
kids_1_to_2,0.04602510460251046,0.049145299145299144,0.02938090241343127,0.1349934469200524,0.09268292682926829,0.040880503144654086,0.11063526052819414,0.05986261040235525,0.028645833333333332
kids_3_up,0.0041841004184100415,0,0,0.002621231979030144,0.0024390243902439024,0.0015723270440251573,0,9.813542688910696e-4,0
hh_max_sei1,21.36610878661088,19.824786324786324,21.237145855194125,39.49410222804718,38.02926829268293,39.84119496855346,46.15631691648822,46.26496565260059,49.997829861111114
ed_pct_black1,35.856990480014005,43.74731449606833,52.7245611665162,4.071251282310744,5.821382126405459,7.064532028345643,4.942935278408883,5.422504614911091,4.938689863257343
ed_pct_frnbrn1,18.429163668792725,15.014338135107458,11.765889228088504,28.80181566721221,24.667652103557707,20.87621460376457,20.785060885844704,17.792781543358764,15.940413609626855
ed_mean_sei1,25.75683533718086,24.355262843909905,23.195774445687192,28.096009070323433,30.200681144618283,32.858033600368735,31.259848710654662,33.88689110174012,37.532307859054185
