"black_coefs[, 1]","Linear, none_1910_est","Linear, none_1910_pval","Linear, none_1920_est","Linear, none_1920_pval","Linear, none_1930_est","Linear, none_1930_pval","Linear, ownership_1910_est","Linear, ownership_1910_pval","Linear, ownership_1920_est","Linear, ownership_1920_pval","Linear, ownership_1930_est","Linear, ownership_1930_pval"
(Intercept),1.8802023159299446,0.08658160946412999,3.067725227967889,3.024043197026334e-4,2.8397234397273055,5.170435225837694e-5,1.5750205621465858,0.23218259988015758,2.563956316725107,0.003612882799491191,2.943788812541465,5.860390826576808e-5
woman,0.5346471793193869,6.827224937212506e-4,0.6795339489702158,0.014651913924239847,0.7923671393570952,0.042153159560647746,0.5231437805786923,4.51187239671882e-4,0.6799351585211,0.014895162303799479,0.7929025083571111,0.04273236943795186
married,0.6632844815269787,0.009973218810311803,0.7792714528144299,0.0835968796911018,0.8394885263757759,0.1165436277984052,0.6585319754394628,0.008927360170365868,0.7855911313125685,0.09434954882300442,0.838509254091171,0.11414615579725605
homeowner,0.6928407789072935,0.006185731362144234,0.3296529268135735,3.358574634760516e-30,0.3044258173960827,2.7635737060514073e-55,3.2731771941486025,0.2103669716329465,1.3381145111794719,0.6735525303348056,0.21269788521429137,0.013334378973064881
age1,0.973232200747138,2.71209928905136e-10,0.9720632003686233,2.104144037203906e-16,0.9760470702854568,7.757249173477386e-19,0.972955371286551,1.9771380731729562e-10,0.9720265683636168,2.0565772342865464e-16,0.9759857146567807,6.481248118566369e-19
kids_1_to_2,0.9648240889871358,0.6860936039016092,0.9216263605922472,0.26575404886932613,0.9152484557711106,0.1358228064081504,0.9659786323671758,0.6965845603645664,0.9226766259535065,0.2728379394442544,0.9143780050682948,0.1316904890629953
kids_3_up,0.8315328451224729,0.06485835914743705,0.7853688780976734,0.004260287190154779,0.8287859585962624,0.003709625942302821,0.8259259582067356,0.05602087575577597,0.7853396643482203,0.004259887242830309,0.8285433134483625,0.003655081383588236
hh_max_sei1,1.0051234535831308,0.01210608925066551,1.004513552572943,0.01418272513625831,1.0024259665825712,0.10367040801643194,1.005420557495646,0.008596142913327115,1.0045395044731844,0.013887873876739086,1.0023342458253288,0.11867941751464656
ed_mean_sei1,1.0235258759332277,0.10944121458071329,1.0194812295860727,0.15537298393406831,1.008127757504548,0.4237036099056454,1.033473743398482,0.03236775082735386,1.0271746505109705,0.06623487853091374,1.0056785785489182,0.598574030041094
ed_pct_black1,0.9945935137891888,0.009709248458382854,0.9971121067116813,0.09810131001179563,0.9920988444251775,5.17641553533226e-7,0.996345098560248,0.09673462915462133,0.9982012515756183,0.33933663130124997,0.9921194520659157,3.1680989228884934e-6
ed_pct_frnbrn1,1.0236440877696922,1.081306609249448e-5,1.0169598629251884,0.0010893636774601853,1.0060981112818836,0.1949542864877376,1.0240075526885473,1.807678061761342e-5,1.0204613867437302,1.9743439231005268e-4,1.0054822066821119,0.2666717966335673
homeowner:ed_mean_sei1,NA,NA,NA,NA,NA,NA,0.9173710489218455,0.06604660083565399,0.9421455006983053,0.13010951278019722,1.0199765873750033,0.5224581711072003
homeowner:ed_pct_black1,NA,NA,NA,NA,NA,NA,0.9805824921357108,0.008563569169051016,0.9916780833964971,0.09629245002417613,1.0009138376057376,0.8466396564738523
homeowner:ed_pct_frnbrn1,NA,NA,NA,NA,NA,NA,1.004243686563784,0.8328029056174044,0.965179969419024,0.06016379383378337,1.0103799540523357,0.5357409147577128
