variable,Black_1910,Black_1920,Black_1930,White Imm_1910,White Imm_1920,White Imm_1930,White NB_1910,White NB_1920,White NB_1930
moved,0.8621536303051561,0.825977653631285,0.9115678032072241,0.8479650709496336,0.7680320013333889,0.7885275487455324,0.813385412450417,0.7105961189445763,0.8124129994988771
woman,0.06889424733034792,0.056780595369349506,0.07813953488372093,0.023941986724475308,0.01837496411139822,0.017890473674942772,0.024468680089485457,0.024276291681934774,0.028266401150569755
married,0.8983809851877368,0.9230981256890849,0.9117829457364341,0.9547250892069217,0.9639473360403593,0.9652403592181722,0.948705656759348,0.9501648955661415,0.9477633956558617
age1,37.76954874267999,38.2651598676957,38.34682170542636,40.43582856923608,40.52405561707887,42.4990667371016,39.88398849472675,40.17675888603884,40.28897001880739
kids_1_to_2,0.37995177402686875,0.35942668136714445,0.3424806201550388,0.38637148447991404,0.407612485131865,0.4360979045606621,0.469479066794503,0.4690820813484793,0.4582180919718258
kids_3_up,0.25111953151911814,0.2249173098125689,0.25844961240310077,0.4153013851053217,0.4094171691070916,0.34379292128895933,0.2499800255672739,0.23302949798460976,0.20520337795478852
hh_max_sei1,22.551498449879436,21.81367144432194,20.687906976744188,38.10747036028086,36.76247897953324,36.81725655925339,43.183924576542026,43.46550934408208,44.32783862521666
ed_pct_black1,30.34413607782215,39.09228665233903,48.94084460275126,3.4655967588162184,4.4330413659603325,6.117961774549911,3.212273526827976,3.3919498677492554,3.9927185818744317
ed_pct_frnbrn1,17.893071022586046,15.127590712623865,12.316122770064007,30.061625151677724,28.680326191488593,24.671871566183892,19.248320158977915,17.51048405893976,17.12321500970592
ed_mean_sei1,13.515708224526742,10.196453833974182,9.783737637496458,13.221321517607546,10.443114244965479,11.175590823286567,14.641920840771817,11.823916290663128,12.819426211532559
