"lag_coefs[, 1]",Black_1910_est,Black_1910_pval,Black_1920_est,Black_1920_pval,Black_1930_est,Black_1930_pval,White Imm_1910_est,White Imm_1910_pval,White Imm_1920_est,White Imm_1920_pval,White Imm_1930_est,White Imm_1930_pval,White NB_1910_est,White NB_1910_pval,White NB_1920_est,White NB_1920_pval,White NB_1930_est,White NB_1930_pval
age1,0.9313280384477713,0.008777322969608686,0.9314747433897747,0.0022670260759308524,0.9031517494542356,1.9490309274539684e-8,0.9383848858927103,2.065078294695426e-12,0.9570563242873584,1.4606756950922216e-5,0.8872354766444889,1.6585364513294377e-27,0.9238771304366207,4.471123736704573e-38,0.9209634730744658,3.5498210121261016e-36,0.8899867741367694,7.324402134020606e-69
age_sq1,1.0004663362206927,0.1516928198529689,1.0004658051028037,0.0996385710079538,1.0008143112071373,1.9263747886053074e-4,1.000323769815167,0.001959450613904506,1.0000925792076152,0.43249052707132124,1.0008149349777462,9.625094137502824e-11,1.0005635108046158,5.384703724202422e-15,1.0004818967049207,4.365542587137242e-10,1.000761745258187,3.643571255396854e-22
kids_1_to_2,0.9812974176327871,0.8343985851200459,0.9181449081388764,0.2716678915852455,0.939116778530435,0.3228052131728291,1.0862552519947806,0.026780610462968757,0.9648511830430425,0.36976396505393666,1.0486534685464508,0.22256367762765072,1.027233710646869,0.24578687222247347,0.9401701269957109,0.013893436011170927,0.9066121703224822,5.279288189735517e-5
kids_3_up,0.8507668093595805,0.11693444864781107,0.7975347410305047,0.011850451306450963,0.8643650963139116,0.03543272518419772,1.0531527868085966,0.1807311303521751,0.8498743670114194,1.0284383966068007e-4,0.9459745906221595,0.1993158679844059,0.9559673573525094,0.0967478942670556,0.8707485004357917,3.489097627366348e-6,1.0308111515243477,0.30560177568457225
hh_max_sei1,1.0219870464510696,0.5163839831716868,1.0145228962448434,0.5383591596798516,1.004797427125611,0.8140334036313243,1.0069526364128567,0.49243384590414274,1.0192562673118173,0.016392346579748647,1.0014343447893703,0.8543669580359059,1.0059490988541,0.4601523371675172,1.010689318185174,0.1120290034360177,1.0111674273655045,0.06428406449810403
ed_pct_black1,0.9761656456448948,0.01403265631967734,0.9946140421687392,0.5155272578273639,0.9846569785803269,0.021733270298234342,1.0404336312489175,4.253506741668249e-8,1.0411271072563093,6.675834400678159e-11,1.0252975188028888,1.0157948848391383e-6,1.0274282175447338,1.0395330851276014e-5,1.0357422838735602,1.0360640742894603e-8,1.0176405121951244,3.473263847325435e-4
ed_pct_black_sq1,1.000364233621906,0.0036426543356160132,1.0001306518419482,0.15315293780199193,1.0001183433673204,0.08219946639869793,0.9994937379889276,0.0019552731444380934,0.999546595740695,6.746775631882405e-5,0.9997641012222693,0.006204189878997345,0.9997486823695139,0.07955100708544136,0.9997500920488437,0.0546184191917634,0.9999218638889736,0.37765612887244737
ed_pct_frnbrn1,1.0313327212794363,0.30406624971751023,1.0536642568664405,0.05862496551325154,1.0212268382087621,0.40144829831533246,0.9952190720564309,0.6228761028350032,0.9632165648906728,8.811167552199864e-4,0.9444445897772016,8.080302126044008e-5,1.0059639756666952,0.5291355141307688,1.0045450174474901,0.6890735157868306,0.9629968879316974,0.0033871096723690933
ed_pct_frnbrn_sq1,1.000114530028552,0.832944234452367,0.9995643911451946,0.4318973611051829,0.9997107985389786,0.5988738961682671,1.000360717542552,0.004448190880759026,1.0008818063437208,1.6178412274512624e-7,1.001001315736054,4.1671830276091946e-5,1.000145166837832,0.3513466364638452,1.0000786326986493,0.7123598052648583,1.0007892009290762,0.0026074741060828975
ed_mean_sei1,0.7834221160760444,0.06593029571260671,0.9809098223152187,0.840642230177395,0.9798411022938492,0.7029685122572972,1.1102345072305972,0.04372194855328636,1.3151186524178615,4.7852964235932564e-8,1.1994279015744336,1.4808610817426823e-4,0.9934151833048538,0.8868670953427513,1.1079344547920813,0.03195753204232564,1.124953444655441,0.0015001069544661571
ed_mean_sei_sq1,1.0100089314027174,0.026465590760952257,1.0029840402026804,0.480183391514248,1.0008511283024661,0.671355074575493,0.9981847508847042,0.30801244075377465,0.9917838768624406,3.6143456235247334e-4,0.9957872719849253,0.036971365537470005,1.0018766895814322,0.2272210055852101,0.998472925076319,0.4416173767818585,0.9977890065839081,0.12318803980716078
hh_max_sei1:ed_pct_black1,0.999816395950437,0.5598053718381757,0.9994396745986391,0.04395935144628502,0.9990791038626332,1.0916132963124265e-4,0.9994299337130257,1.7127244485109678e-4,0.9996980231843751,0.0237932479776407,0.9998467114996019,0.16451438391688478,0.999476265311333,1.258500526545928e-5,0.9998771218445893,0.313028248006497,1.0001478564675863,0.1531700702930061
hh_max_sei1:ed_pct_black_sq1,0.9999975322012008,0.5471484583647603,1.0000050189282277,0.10548298161605843,1.0000083311884183,4.917001844297365e-4,1.0000097793818423,0.0018133375608439279,1.0000048117247693,0.038451655746494486,1.0000030312965942,0.08337374730296249,1.0000079952545646,0.0030263796781728634,1.0000012015529538,0.6332175787651608,0.9999981103008845,0.31392141198354456
hh_max_sei1:ed_pct_frnbrn1,0.9991981668933093,0.39534960258193286,1.0011715576666393,0.29796187965735665,1.0005814225058967,0.5693749629424671,1.0008300983749543,1.1038053396399292e-4,1.000824578107841,9.238811051429341e-4,1.000620487242502,0.03991575747292915,1.0003910670506508,0.04539763335551559,1.0006701001913996,0.0038990282099500037,1.000562905913222,0.03127468579900676
hh_max_sei1:ed_pct_frnbrn_sq1,1.0000054839033983,0.7469435766204437,0.9999678000008801,0.1891501204535779,0.9999910566344213,0.7092583349554864,0.9999870923655535,4.390055704684346e-6,0.9999854663883668,1.0347356634819783e-4,0.999990203800176,0.053289658789117275,0.9999940897696347,0.07071174745744331,0.9999906756656223,0.034241592998609294,0.999991133152272,0.09683287687222583
hh_max_sei1:ed_mean_sei1,1.0015861731246147,0.6701865112202057,0.9980160642413617,0.5160705721733843,1.0009324084496838,0.68327809571365306,0.9985074787500897,0.21539018425902126,0.9973003324444109,0.017745162534845055,0.9997376489006962,0.7826878920172831,0.9992936186984884,0.44179424333641687,0.9979499449360103,0.031110423593151616,0.9975502819785622,8.685705256861641e-4
