spec_type,1910,1920,1930
ED,2194.4760122444973,3142.7985634776537,3632.5058746778873
Lagged,2194.777442080691,3120.6561865407566,3597.5045271691006
ED and Lagged,2197.6611158838364,3122.632048758973,3591.8184085378393
