"lag_coefs[, 1]",Black_1910_est,Black_1910_pval,Black_1920_est,Black_1920_pval,Black_1930_est,Black_1930_pval,White Imm_1910_est,White Imm_1910_pval,White Imm_1920_est,White Imm_1920_pval,White Imm_1930_est,White Imm_1930_pval,White NB_1910_est,White NB_1910_pval,White NB_1920_est,White NB_1920_pval,White NB_1930_est,White NB_1930_pval
(Intercept),27.829233143062456,6.655229922847296e-6,37.8389239651931,1.1707270910219484e-9,45.758095666516795,3.5228042190858902e-9,10.628711728784392,5.303976086240422e-16,8.089589771425082,2.108651394896616e-20,2.664880470251769,1.8694887698842563e-6,12.23303269955129,8.598060437717733e-33,11.971779074154133,2.5604750312539407e-45,7.013589024974135,2.4666932569917796e-29
woman,0.6139678629565842,0.06474110117649885,0.7757747552843043,0.27645663839576573,1.0517622548017926,0.8078646320583742,1.017567200226274,0.8957110938837495,1.2170779389991098,0.165992018275629,1.2841402510767548,0.08377718135292338,1.5312450539367528,3.934964325084234e-6,1.3245893949002854,0.0011836792028062175,1.2888316827604884,0.004278037412630723
married,0.5506378301300388,0.01739845604696494,0.9345763624710617,0.7469288118753264,1.3077806641647398,0.15205724974934315,1.126785987049811,0.2212727674445831,1.057058178815289,0.582368855453316,0.9453812335783988,0.570906630220977,1.2169256732885523,0.0012789190343656146,1.2412024146517282,3.5721968613762624e-4,0.9751924973620448,0.6935750825030831
age1,0.9517194608218487,1.0687164137638946e-17,0.9452055256471978,3.2293551194006224e-32,0.9445288797048708,1.935263889098644e-39,0.9583016030257517,3.3101112608214943e-121,0.9571345879942376,1.4658410793223863e-147,0.9691197220459726,2.26035186613623e-82,0.9605078096802786,1.0551562196518712e-257,0.960446584685875,1.0155853351132925e-296,0.9736685670326163,7.886286520295053e-133
kids_1_to_2,1.1232158682232194,0.36882027386332067,0.8937719486717648,0.2881207846797062,0.878238171031482,0.21288346593754714,1.1269199606570668,0.01376361916903359,0.8931119387798321,0.013775013912421164,0.9625957631835786,0.35776774227319796,1.0912359700337466,0.0022366239867792617,0.975906225039298,0.3650933993500519,0.9003587193679392,8.816289192065466e-5
kids_3_up,1.1553591501415463,0.3245643434546735,0.8264856968233826,0.10767738857586616,1.043760242049834,0.7189636484353708,1.167607463518375,0.0016385977594974182,0.8277659623310943,4.390577596185571e-5,0.8815782296561631,0.0036993594095748607,1.204509217206105,4.099584560174685e-8,1.0625622719851284,0.05970043972592596,1.1056154347948786,0.003150791324643337
hh_max_sei1,1.025596550939578,0.1943688529837712,0.9930567124440007,0.6634187567578486,0.9761304073115677,0.21012621169939255,1.0059780321969918,0.27442621190663413,1.009633416353698,0.017332331747189303,1.0084945944123722,0.019845937784280333,1.0068499858190623,0.07340536583676226,0.9916921230821322,0.007725618120723414,0.9943144249097359,0.06287113230327399
ed_pct_black1,1.003657733948142,0.43367145176827715,1.0054361237974512,0.15550009851961918,1.0053397481547761,0.2292992863861196,1.0078238209605186,0.09571695111276239,1.013935044756865,2.738486600986994e-5,1.008059784088242,3.7897102115173507e-4,1.009485574915758,0.016457447730805555,1.0255348277012566,5.198758988780632e-13,1.0188040113458232,6.039369669075729e-10
ed_pct_frnbrn1,1.0377072018336975,0.010625271468396223,1.0219626128363473,0.07142579254053168,1.0127096239432978,0.3938445744643054,1.0419296234017839,1.4069657309836722e-32,1.0260631943909342,4.56203308123934e-21,1.0137152637247797,2.3365861532465415e-5,1.0199805714979941,7.045053800341913e-8,1.0249613696291846,6.241769250173018e-11,1.023360187956431,8.376701257967978e-8
ed_mean_sei1,1.0222527117474598,0.4938118842035999,0.9961404986451828,0.8938551079447341,1.036819599214423,0.2136679582195661,1.0041248033354087,0.784238400169009,1.0239753929897129,0.061053454741991635,1.1240404153143355,7.802950111414651e-32,1.0152961929725313,0.14261729445474036,0.9737576834819065,0.008430085163816364,1.0296739930362029,7.983652977612859e-4
hh_max_sei1:ed_pct_black1,0.999684893945066,0.01897775694487404,0.9999774857743262,0.8470386202665062,1.0000928311814707,0.5148831422990641,0.9999130650251712,0.33087657294294787,1.0000181450162295,0.7965301168552676,1.0000321646380872,0.5281332747232763,0.9998426274086859,0.026030904159465944,0.9998877391657012,0.08625327329439378,0.9999504495979467,0.41601026197459046
hh_max_sei1:ed_pct_frnbrn1,0.9996034154355655,0.34201360397440916,1.0003229987512698,0.4577293535878512,1.0009464151141598,0.09760616984450574,0.9996366355963174,1.4197885413741021e-7,0.9998844644425386,0.05190695871193591,1.000174129171747,0.01847979132692362,0.9997888727903833,0.0036873575245407546,1.0000016236771445,0.9829755885095847,1.0000679084325126,0.4354111746458205
hh_max_sei1:ed_mean_sei1,0.9990996282338663,0.3350385400892752,0.9996958833904066,0.7205428745363418,1.0002955673860803,0.7329594941423732,0.9998391081994836,0.6000242072447459,0.9993806169284196,0.0209726420532582,0.9992550932035299,5.815952299450383e-4,0.9994411579019618,0.0043637247288037155,1.0001285549941081,0.5014556625814155,1.0000783449319586,0.6347017278115807
