"lag_coefs[, 1]",Black_1910_est,Black_1910_pval,Black_1920_est,Black_1920_pval,Black_1930_est,Black_1930_pval,White Imm_1910_est,White Imm_1910_pval,White Imm_1920_est,White Imm_1920_pval,White Imm_1930_est,White Imm_1930_pval,White NB_1910_est,White NB_1910_pval,White NB_1920_est,White NB_1920_pval,White NB_1930_est,White NB_1930_pval
(Intercept),0.9623062734088316,0.9372367920000589,1.6822264698046028,0.2373892661528341,2.9618369817442223,0.0029033119265997414,0.6838564367173582,0.057229856279500384,0.4309259727648759,7.346787258305621e-6,0.7547684043398307,0.1352510739905619,0.8673983556434457,0.36257217703602895,1.207580055475966,0.21743118899009023,2.1158798755423747,2.2644077907581122e-7
woman,0.46325021598002963,1.279877282204062e-4,0.8135485693373848,0.2494971117843227,0.9253948745225871,0.5462364435362282,0.855600412482835,0.15297452747348103,0.9049110436329496,0.4248121742188911,0.8886033679906082,0.3786486692684481,1.0389738603456917,0.6156874885378304,1.0756775533513767,0.38052690953197904,1.0371099712401626,0.6414164001979228
married,0.6194940277716976,0.003466828361824518,0.8534340409282287,0.31801913485458455,0.9601187511520447,0.7386177568574072,1.0380085070931795,0.6454542581932947,0.9507317006163646,0.5804860178386477,0.8866204512858367,0.22977748131183093,1.1533633940223242,0.008750756976509034,1.2861628726942491,2.9771794814616392e-5,0.9521105075957038,0.41272959838719336
age1,0.9684348314762893,2.0185682333963262e-13,0.9676493417516492,2.5349113875198426e-19,0.9663771261082771,1.3240563706866175e-32,0.9646412968411423,8.860702652849369e-152,0.9648916153235721,1.9067378600343544e-133,0.9517660449633976,7.512041796367368e-213,0.9684881527370162,1.6577887065141037e-241,0.9589228588172473,0,0.9479503689834563,0
kids_1_to_2,0.9875846307744999,0.8894147994668321,0.9032054601160765,0.18719841953367228,0.939535962857955,0.32209359663667503,1.0683559241020788,0.07303816045555733,0.9618053314847882,0.3205204272180547,0.9946669835554028,0.8879708948745624,1.0014857536671258,0.9483020011839729,0.9208188934812775,8.917832692993248e-4,0.8702086190652707,5.054676287789871e-9
kids_3_up,0.84563879587092206,0.09812486304356276,0.7759525511173528,0.004276835900814515,0.843058225044996,0.012737136463440414,1.0142974476655249,0.6961432418381722,0.8377238997517498,6.457936517790946e-6,0.8551817396653915,1.1742053894515841e-4,0.9084664909405165,2.4820392211026744e-4,0.8340258468029825,3.2888550628819026e-10,0.9564743420822301,0.11750404720277773
hh_max_sei1,1.04234542682004,0.0036251413773840733,1.00699485268738,0.5980415258661418,0.9996745763648612,0.9793375027013268,1.017176582129295,1.4000332872907616e-5,1.0305855471343588,8.4941810852624525e-19,1.014233466111999,8.440535280245857e-6,1.0080599387225924,0.007082458623128161,1.008447672087396,0.0026015926824619366,1.0027970971362168,0.2870938141347649
ed_pct_black1,1.0045284722186378,0.16351811961643964,1.0045435766407578,0.11215995487559173,0.9960361624278825,0.11540604824760725,1.0203200865900004,1.4513718441060793e-9,1.0205346874863197,5.477305431170527e-16,1.0154155036749855,1.4365263589026844e-13,1.017258527056832,4.450551930077906e-9,1.024787147805753,5.476547681101274e-21,1.0148897843756006,2.128565603349062e-12
ed_pct_frnbrn1,1.0401184326091744,2.378509726534698e-6,1.0294372890735286,4.785224642678439e-4,1.0102403110521723,0.17990541575246383,1.0225940996567646,3.813547271958256e-33,1.0209529005054852,4.343609330584897e-22,1.0016884560215122,0.54064550767653,1.0146368808819979,5.608391462474834e-9,1.0084003813220561,0.004472547316156521,1.0007956036998293,0.8047040115721481
ed_mean_sei1,1.0489989440026146,0.026636429971239297,1.037576735355921,0.09211304696391612,1.0004346047709785,0.978039912435331,1.06516187756831,9.665750478665429e-10,1.1311925292910268,2.574309274662107e-32,1.1155312192101896,1.1078154135921184e-34,1.0474267853875967,1.9867375239491962e-9,1.0643612479706517,1.9049968895437237e-12,1.058989589520311,5.7897145415146105e-15
hh_max_sei1:ed_pct_black1,0.9996126480641686,1.8455472283248765e-4,0.9998457529259016,0.1132891307211752,0.9998385490208799,0.09464436533237588,0.9998166665095214,0.005554901477270577,0.9998814990211143,0.027434699995775337,0.9999754049743249,0.5761986653707232,0.9997990471874103,3.7871739516758755e-4,0.9999167020767882,0.1136832756039328,1.0000628191679153,0.16369775937625516
hh_max_sei1:ed_pct_frnbrn1,0.9994482212792486,0.03732999160707149,0.9999010139398492,0.7557873592127397,1.0002192145589248,0.5073782294104253,0.9998738336620752,0.002833154357620001,0.9998632494719177,0.004329407848544527,1.000050958299845,0.3918999768932938,1.0000625039954534,0.24484710934819381,1.0002186449767945,5.08400258730821e-4,1.000136800779025,0.040380143708752106
hh_max_sei1:ed_mean_sei1,0.9988145484439221,0.08877292368347334,0.9999511024131641,0.9452712371334471,1.0002544159225135,0.6555447426347782,0.9992295106054412,6.424247520017533e-4,0.9982711809529922,2.173693390200225e-14,0.9992289285120967,3.956598018669601e-5,0.9993613324686946,4.181375204129524e-5,0.9990346095001965,3.219587179381873e-8,0.9994058692351839,4.7092040807166446e-5
