spec_type,1910,1920,1930
ED,45581.84690873497,48865.44163860737,50920.76642595741
Lagged,45602.876912374384,48641.14252106785,50682.9230780735
ED and Lagged,45556.59411530749,48563.863104633725,50680.89386971394
