spec_type,1910,1920,1930
ED,20312.961807773332,24694.495259459225,28209.391214998745
Lagged,20337.00766657404,24588.85018152015,28071.382008031116
ED and Lagged,20304.248179512906,24582.521902886,28022.209391455344
